,league_name,team_name,team_ranking,team_total_players,team_immigrant_players,team_immigrant_percentage,player_nationality_breakdown,top_immigrant_continents
0,Bundesliga,Bayer 04 Leverkusen,1,29,20.0,68.97,"Germany (9), Czech Republic (3), Netherlands (2), Spain (2), Finland (1), Argentina (1), Burkina Faso (1), Croatia (1), Ecuador (1), Nigeria (1), England (1), Belgium (1), Brazil (1), Colombia (1), France (1), Ivory Coast (1), Switzerland (1)","Europe (22), South America (4)"
1,Bundesliga,RB Leipzig,4,27,18.0,66.67,"Germany (9), France (3), Austria (3), Hungary (2), Netherlands (2), Slovenia (2), Norway (1), North Macedonia (1), Belgium (1), Denmark (1), Mali (1), Spain (1)","Europe (26), Africa (1)"
2,Bundesliga,VfL Wolfsburg,12,29,18.0,62.07,"Germany (11), Belgium (3), Denmark (2), Austria (2), Sweden (2), Croatia (1), Switzerland (1), France (1), Poland (1), Brazil (1), USA (1), Portugal (1), Norway (1), Czech Republic (1)","Europe (27), South America (1)"
3,Bundesliga,Eintracht Frankfurt,6,37,22.0,59.46,"Germany (15), France (4), Brazil (2), Ecuador (2), Sweden (2), Egypt (1), Croatia (1), Algeria (1), Spain (1), Albania (1), Serbia (1), Japan (1), Tunisia (1), USA (1), Netherlands (1), Portugal (1), Austria (1)","Europe (28), South America (4)"
4,Bundesliga,FC Bayern Munchen,3,35,20.0,57.14,"Germany (15), France (4), England (2), Morocco (2), Portugal (1), Senegal (1), Austria (1), Netherlands (1), Israel (1), Canada (1), South Korea (1), Spain (1), Croatia (1), Sweden (1), Cameroon (1), Denmark (1)","Europe (29), Africa (4)"
5,Bundesliga,Borussia Monchengladbach,14,32,18.0,56.25,"Germany (14), France (5), Japan (2), Austria (2), Switzerland (2), USA (2), Czech Republic (1), Australia (1), Belgium (1), Armenia (1), Italy (1)","Europe (27), Asia (2)"
6,Bundesliga,1. FC Union Berlin,15,27,15.0,55.56,"Germany (12), Denmark (3), France (2), Belgium (1), USA (1), Tunisia (1), Hungary (1), Netherlands (1), Czech Republic (1), Portugal (1), Austria (1), Ivory Coast (1), Croatia (1)","Europe (24), Africa (2)"
7,Bundesliga,SV Werder Bremen,9,30,15.0,50.0,"Germany (15), Belgium (2), Austria (2), Denmark (1), USA (1), Japan (1), Greece (1), France (1), Norway (1), Argentina (1), Guinea (1), Czech Republic (1), Serbia (1), Poland (1)","Europe (26), North America (1)"
8,Bundesliga,FC Augsburg,11,30,14.0,46.67,"Germany (16), Croatia (2), Switzerland (2), England (1), Netherlands (1), Brazil (1), Bosnia-Herzegovina (1), Spain (1), Poland (1), Denmark (1), Czech Republic (1), Finland (1), Belgium (1)","Europe (29), South America (1)"
9,Bundesliga,VfL Bochum 1848,16,30,14.0,46.67,"Germany (16), Ghana (2), Brazil (2), Switzerland (1), North Macedonia (1), Slovakia (1), Costa Rica (1), Ukraine (1), Japan (1), France (1), Austria (1), Portugal (1), Serbia (1)","Europe (24), Africa (2)"
10,Bundesliga,Borussia Dortmund,5,33,15.0,45.45,"Germany (18), England (2), Spain (2), Netherlands (2), Norway (1), Turkey (1), Switzerland (1), Ivory Coast (1), Algeria (1), Austria (1), Belgium (1), Guinea (1), Poland (1)","Europe (30), Africa (3)"
11,Bundesliga,TSG 1899 Hoffenheim,7,29,13.0,44.83,"Germany (16), Czech Republic (2), Netherlands (2), Austria (1), Croatia (1), Nigeria (1), Ghana (1), Turkey (1), Denmark (1), Togo (1), USA (1), France (1)","Europe (25), Africa (3)"
12,Bundesliga,VfB Stuttgart,2,32,13.0,40.63,"Germany (19), France (4), Japan (3), Guinea (1), South Korea (1), DR Congo (1), Switzerland (1), Denmark (1), Syria (1)","Europe (25), Asia (5)"
13,Bundesliga,SC Freiburg,10,33,13.0,39.39,"Germany (20), Austria (3), France (2), Hungary (2), Finland (1), Ireland (1), Ghana (1), Kosovo (1), Japan (1), Italy (1)","Europe (31), Africa (1)"
14,Bundesliga,SV Darmstadt 98,18,31,12.0,38.71,"Germany (19), Austria (3), Sweden (2), Croatia (2), Scotland (1), Ghana (1), Israel (1), Italy (1), Philippines (1)","Europe (29), Africa (1)"
15,Bundesliga,1. FSV Mainz 05,13,32,11.0,34.38,"Germany (21), France (3), Austria (2), Switzerland (2), Netherlands (1), Norway (1), Luxembourg (1), South Korea (1)","Europe (31), Asia (1)"
