,player_id,team_id,name,position,date_of_birth,nationality,age,name
0,187998,1,Rijad Smajic,Defence,2004-05-02,Bosnia-Herzegovina,21,1. FC Koln
1,326,2,Ihlas Bebou,Midfield,1994-04-23,Togo,31,TSG 1899 Hoffenheim
2,191421,3,Gustavo Puerta,Midfield,2003-07-23,Colombia,21,Bayer 04 Leverkusen
3,161415,4,Abdoulaye Kamara,Midfield,2004-11-06,Guinea,20,Borussia Dortmund
4,182280,4,Julien Duranville,Offence,2006-05-05,Belgium,19,Borussia Dortmund
5,183635,5,Lovro Zvonarek,Midfield,2005-05-08,Croatia,20,FC Bayern Munchen
6,246474,5,Jonathan Asp-Jensen,Midfield,2006-01-14,Denmark,19,FC Bayern Munchen
7,246476,5,Adam Aznou,Defence,2006-06-02,Morocco,18,FC Bayern Munchen
8,215574,10,Anrie Chase,Defence,2004-03-24,Japan,21,VfB Stuttgart
9,124324,11,Patrick Wimmer,Midfield,2001-05-30,Austria,23,VfL Wolfsburg
10,226969,12,Spyros Angelidis,Goalkeeper,2005-01-28,Greece,20,SV Werder Bremen
11,82403,15,Leandro Barreiro Martins,Midfield,2000-01-03,Luxembourg,25,1. FSV Mainz 05
12,6884,17,Florent Muslija,Midfield,1998-07-06,Kosovo,26,SC Freiburg
13,60395,17,Chikwubuike Adamu,Midfield,2001-06-06,Austria,23,SC Freiburg
14,181745,17,Jaaso Jantunen,Goalkeeper,2005-01-31,Finland,20,SC Freiburg
15,183637,18,Grant-Leon Ranos,Midfield,2003-07-20,Armenia,21,Borussia Monchengladbach
16,191106,18,Simon Walde,Defence,2026-06-30,Germany,-1,Borussia Monchengladbach
17,206426,18,Shio Fukuda,Offence,2004-04-08,Japan,21,Borussia Monchengladbach
18,66896,19,Omar Marmoush,Offence,1999-02-07,Egypt,26,Eintracht Frankfurt
19,191130,19,Simon Simoni,Goalkeeper,2027-06-30,Albania,-2,Eintracht Frankfurt
20,205610,19,Davis Bautista,Defence,2005-02-16,Ecuador,20,Eintracht Frankfurt
21,230048,19,Nils Ramming,Goalkeeper,2007-03-28,Sweden,18,Eintracht Frankfurt
22,3513,36,Cristian Gamboa,Defence,1989-10-24,Costa Rica,35,VfL Bochum 1848
23,151089,36,Agon Elezi,Midfield,2001-03-01,North Macedonia,24,VfL Bochum 1848
24,143050,44,Paul Tschernuth,Goalkeeper,2002-01-20,Austria,23,1. FC Heidenheim 1846
25,212813,44,Seedy Jarju,Defence,2004-10-28,Gambia,20,1. FC Heidenheim 1846
26,6630,55,Gerrit Holtmann,Midfield,1995-03-25,Philippines,30,SV Darmstadt 98
27,250932,55,Asaf Arania,Midfield,2005-10-19,Israel,19,SV Darmstadt 98
